Epoch 000 | Iter 007400 | Step 0007401 | G-Cycle: 0.3010 | G-L1: 0.2444 | G-Adv: 1.4108 | Gc-Adv: 1.5979 | G-Sum: 3.2815 | D: 2.7733 | Dc: 2.9786
Epoch 000 | Iter 007500 | Step 0007501 | G-Cycle: 0.2761 | G-L1: 0.1990 | G-Adv: 1.3821 | Gc-Adv: 1.5803 | G-Sum: 3.2000 | D: 2.7696 | Dc: 2.6177
Epoch 000 | Iter 007600 | Step 0007601 | G-Cycle: 0.3208 | G-L1: 0.1814 | G-Adv: 1.3512 | Gc-Adv: 1.8253 | G-Sum: 3.4277 | D: 2.7794 | Dc: 2.8262
Epoch 000 | Iter 007700 | Step 0007701 | G-Cycle: 0.2857 | G-L1: 0.1989 | G-Adv: 1.3617 | Gc-Adv: 1.7111 | G-Sum: 3.3150 | D: 2.7713 | Dc: 2.7138
Epoch 000 | Iter 007800 | Step 0007801 | G-Cycle: 0.2699 | G-L1: 0.2038 | G-Adv: 1.6243 | Gc-Adv: 1.5485 | G-Sum: 3.4096 | D: 2.8065 | Dc: 3.1332
Epoch 000 | Iter 007900 | Step 0007901 | G-Cycle: 0.2111 | G-L1: 0.1413 | G-Adv: 1.4335 | Gc-Adv: 1.8580 | G-Sum: 3.4677 | D: 2.7746 | Dc: 2.8901
Epoch 000 | Iter 008000 | Step 0008001 | G-Cycle: 0.3156 | G-L1: 0.2393 | G-Adv: 1.4628 | Gc-Adv: 1.6215 | G-Sum: 3.3617 | D: 2.7741 | Dc: 2.4925
Epoch 000 | Iter 008100 | Step 0008101 | G-Cycle: 0.1828 | G-L1: 0.1276 | G-Adv: 1.4173 | Gc-Adv: 1.6847 | G-Sum: 3.2572 | D: 2.7726 | Dc: 2.6698
Epoch 000 | Iter 008200 | Step 0008201 | G-Cycle: 0.2759 | G-L1: 0.2017 | G-Adv: 1.3676 | Gc-Adv: 1.7339 | G-Sum: 3.3403 | D: 2.7723 | Dc: 2.6406
Epoch 000 | Iter 008300 | Step 0008301 | G-Cycle: 0.2573 | G-L1: 0.2019 | G-Adv: 1.3540 | Gc-Adv: 1.7894 | G-Sum: 3.3731 | D: 2.7745 | Dc: 3.0288
Epoch 000 | Iter 008400 | Step 0008401 | G-Cycle: 0.2527 | G-L1: 0.1653 | G-Adv: 1.7447 | Gc-Adv: 1.6168 | G-Sum: 3.5706 | D: 2.9572 | Dc: 3.1166
Epoch 000 | Iter 008500 | Step 0008501 | G-Cycle: 0.3040 | G-L1: 0.1500 | G-Adv: 1.3322 | Gc-Adv: 1.5986 | G-Sum: 3.1578 | D: 2.7810 | Dc: 2.8638
Epoch 000 | Iter 008600 | Step 0008601 | G-Cycle: 0.2146 | G-L1: 0.1813 | G-Adv: 1.4921 | Gc-Adv: 1.6077 | G-Sum: 3.2977 | D: 2.7898 | Dc: 2.8180
Epoch 000 | Iter 008700 | Step 0008701 | G-Cycle: 0.3293 | G-L1: 0.1898 | G-Adv: 1.3430 | Gc-Adv: 1.6000 | G-Sum: 3.2025 | D: 2.7744 | Dc: 2.7394
Epoch 000 | Iter 008800 | Step 0008801 | G-Cycle: 0.4738 | G-L1: 0.1484 | G-Adv: 1.4360 | Gc-Adv: 1.6347 | G-Sum: 3.3818 | D: 2.8275 | Dc: 2.4125
Epoch 000 | Iter 008900 | Step 0008901 | G-Cycle: 0.3576 | G-L1: 0.1495 | G-Adv: 1.3140 | Gc-Adv: 1.7854 | G-Sum: 3.3529 | D: 2.7817 | Dc: 2.7952
Epoch 000 | Iter 009000 | Step 0009001 | G-Cycle: 0.2937 | G-L1: 0.1976 | G-Adv: 1.4143 | Gc-Adv: 1.4340 | G-Sum: 3.0940 | D: 2.7809 | Dc: 2.7463
Epoch 000 | Iter 009100 | Step 0009101 | G-Cycle: 0.2647 | G-L1: 0.1553 | G-Adv: 1.5661 | Gc-Adv: 1.7108 | G-Sum: 3.4868 | D: 2.7838 | Dc: 3.0046
Epoch 000 | Iter 009200 | Step 0009201 | G-Cycle: 0.2548 | G-L1: 0.1512 | G-Adv: 1.0442 | Gc-Adv: 1.5843 | G-Sum: 2.8316 | D: 2.7944 | Dc: 2.9498
Epoch 000 | Iter 009300 | Step 0009301 | G-Cycle: 0.2800 | G-L1: 0.1881 | G-Adv: 1.3761 | Gc-Adv: 1.4827 | G-Sum: 3.0929 | D: 2.7704 | Dc: 2.9471
Epoch 000 | Iter 009400 | Step 0009401 | G-Cycle: 0.3159 | G-L1: 0.1858 | G-Adv: 1.2455 | Gc-Adv: 1.5731 | G-Sum: 3.0695 | D: 2.7875 | Dc: 3.5321
Epoch 000 | Iter 009500 | Step 0009501 | G-Cycle: 0.2623 | G-L1: 0.2322 | G-Adv: 1.3960 | Gc-Adv: 1.8677 | G-Sum: 3.5109 | D: 2.7720 | Dc: 2.1635
Epoch 000 | Iter 009600 | Step 0009601 | G-Cycle: 0.2519 | G-L1: 0.1958 | G-Adv: 1.2384 | Gc-Adv: 1.6818 | G-Sum: 3.1441 | D: 2.7728 | Dc: 2.5268
Epoch 000 | Iter 009700 | Step 0009701 | G-Cycle: 0.2864 | G-L1: 0.1969 | G-Adv: 1.3760 | Gc-Adv: 1.6610 | G-Sum: 3.2787 | D: 2.7675 | Dc: 2.7494
Epoch 000 | Iter 009800 | Step 0009801 | G-Cycle: 0.1790 | G-L1: 0.1156 | G-Adv: 1.3142 | Gc-Adv: 1.5237 | G-Sum: 2.9851 | D: 2.7817 | Dc: 3.2039
Epoch 000 | Iter 009900 | Step 0009901 | G-Cycle: 0.3053 | G-L1: 0.1799 | G-Adv: 1.3738 | Gc-Adv: 1.6318 | G-Sum: 3.2482 | D: 2.7733 | Dc: 2.3638
Epoch 000 | Iter 000000 | Step 0000001 | G-Cycle: 1.4491 | G-L1: 1.1836 | G-Adv: 84.4105 | Gc-Adv: 1.6019 | G-Sum: 87.3288 | D: 3.4364 | Dc: 3.1303
